Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA],Cost of animal-source foods [CoHD_asf],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of fruits [CoHD_f],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost of legumes, nuts and seeds [CoHD_lns]","Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats [CoHD_of],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 2.0,FPN 2.0,Guyana,GUY,2020,YR2020,..,4.363,..,..,..,..,4.887,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.9,..,..,0.2,797202
Food Prices for Nutrition 2.0,FPN 2.0,Guyana,GUY,2021,YR2021,..,4.569,..,..,..,..,5.117,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.5,..,..,0.1,804567
Food Prices for Nutrition 2.0,FPN 2.0,Haiti,HTI,2017,YR2017,1.476,3.509,1.1,2.615,0.411,0.978,3.93,3.59,2.929,1.095,1.583,2.45,0.377,0.58,0.35,0.54,0.128,0.2,0.646,0.845,1.31,0.403,0.096,0.089,0.033,0.215,0.164,23.5,73.8,84.7,2.6,8,9.2,10863543
Food Prices for Nutrition 2.0,FPN 2.0,Haiti,HTI,2018,YR2018,..,3.638,..,..,..,..,4.075,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.7,..,..,9.3,11012421
Food Prices for Nutrition 2.0,FPN 2.0,Haiti,HTI,2019,YR2019,..,3.817,..,..,..,..,4.275,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.9,..,..,9.7,11160438
Food Prices for Nutrition 2.0,FPN 2.0,Haiti,HTI,2020,YR2020,..,4.009,..,..,..,..,4.49,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.9,..,..,10.1,11306801
Food Prices for Nutrition 2.0,FPN 2.0,Haiti,HTI,2021,YR2021,..,4.298,..,..,..,..,4.814,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.6,..,..,10.6,11447569
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2017,YR2017,0.455,2.814,0.351,2.152,0.106,0.636,3.152,1.30734135213604,2.411,0.712,0.753,1.65,0.688,1.51,0.352,0.77,0.102,0.22,0.455,0.803,1.76,0.239,0.218,0.112,0.032,0.255,0.144,0.6,1.2,1.9,7.3,14,21.4,1219259590
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2018,YR2018,..,2.866,..,..,..,..,3.21,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.7,..,..,18.9,1201464351
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2019,YR2019,..,2.941,..,..,..,..,3.294,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.5,..,..,17.4,1206619363
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2020,YR2020,..,3.002,..,..,..,..,3.363,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.5,..,..,17.6,1211551557
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2021,YR2021,..,3.064,..,..,..,..,3.432,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3,..,..,14.3,1211377891
Food Prices for Nutrition 2.0,FPN 2.0,Honduras,HND,2017,YR2017,0.956,3,0.988,3.1,0.326,1.023,3.36,2.93,3.472,1.146,1.083,1.7,0.484,0.76,0.229,0.36,0.248,0.39,0.637,0.68,1.07,0.322,0.144,0.068,0.074,0.202,0.19,14.3,49.9,48.5,1.4,4.8,4.7,9626842
Food Prices for Nutrition 2.0,FPN 2.0,Honduras,HND,2018,YR2018,..,3.049,..,..,..,..,3.415,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48,..,..,4.7,9792850
Food Prices for Nutrition 2.0,FPN 2.0,Honduras,HND,2019,YR2019,..,3.039,..,..,..,..,3.404,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.5,..,..,4.6,9958829
Food Prices for Nutrition 2.0,FPN 2.0,Honduras,HND,2020,YR2020,..,3.113,..,..,..,..,3.486,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.7,..,..,5,10121763
Food Prices for Nutrition 2.0,FPN 2.0,Honduras,HND,2021,YR2021,..,3.21,..,..,..,..,3.595,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.8,..,..,4.6,10278345
Food Prices for Nutrition 2.0,FPN 2.0,"Hong Kong SAR, China",HKG,2017,YR2017,0.321,3.267,0.203,2.068,0.08,0.811,3.659,4.03,2.316,0.908,1.034,1.39,0.675,0.91,0.304,0.41,0.16,0.21,0.745,0.742,1,0.283,0.184,0.083,0.044,0.203,0.204,..,..,..,..,..,..,7393200
Food Prices for Nutrition 2.0,FPN 2.0,"Hong Kong SAR, China",HKG,2018,YR2018,..,3.41,..,..,..,..,3.819,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7452600
Food Prices for Nutrition 2.0,FPN 2.0,"Hong Kong SAR, China",HKG,2019,YR2019,..,3.703,..,..,..,..,4.147,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7507900
Food Prices for Nutrition 2.0,FPN 2.0,"Hong Kong SAR, China",HKG,2020,YR2020,..,4.029,..,..,..,..,4.513,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7481000
Food Prices for Nutrition 2.0,FPN 2.0,"Hong Kong SAR, China",HKG,2021,YR2021,..,4.213,..,..,..,..,4.718,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7413100
Food Prices for Nutrition 2.0,FPN 2.0,Hungary,HUN,2017,YR2017,0.491,2.948,0.336,2.016,0.065,0.388,3.302,7.61,2.258,0.434,0.805,1.98,0.828,2.03,0.42,1.03,0.089,0.22,0.407,0.754,1.85,0.244,0.251,0.127,0.027,0.228,0.123,0.3,1.9,3.7,0,0.2,0.4,9787966
Food Prices for Nutrition 2.0,FPN 2.0,Hungary,HUN,2018,YR2018,..,3.021,..,..,..,..,3.383,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.4,..,..,0.2,9775564
Food Prices for Nutrition 2.0,FPN 2.0,Hungary,HUN,2019,YR2019,..,3.116,..,..,..,..,3.49,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.2,..,..,0.2,9771141
Food Prices for Nutrition 2.0,FPN 2.0,Hungary,HUN,2020,YR2020,..,3.131,..,..,..,..,3.507,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,..,..,0.2,9750149
Food Prices for Nutrition 2.0,FPN 2.0,Hungary,HUN,2021,YR2021,..,3.052,..,..,..,..,3.418,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.5,..,..,0.1,9709891
Food Prices for Nutrition 2.0,FPN 2.0,Iceland,ISL,2017,YR2017,0.247,1.976,0.271,2.163,0.042,0.338,2.213,5.85,2.422,0.378,0.596,2.15,0.484,1.75,0.277,1,0.055,0.2,0.277,0.525,1.9,0.269,0.219,0.125,0.025,0.237,0.125,0,0,0,0,0,0,343400
Food Prices for Nutrition 2.0,FPN 2.0,Iceland,ISL,2018,YR2018,..,2.006,..,..,..,..,2.247,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,352721
Food Prices for Nutrition 2.0,FPN 2.0,Iceland,ISL,2019,YR2019,..,2.066,..,..,..,..,2.314,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,360563
Food Prices for Nutrition 2.0,FPN 2.0,Iceland,ISL,2020,YR2020,..,2.161,..,..,..,..,2.42,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,366463
Food Prices for Nutrition 2.0,FPN 2.0,Iceland,ISL,2021,YR2021,..,2.157,..,..,..,..,2.416,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,0,372520
Food Prices for Nutrition 2.0,FPN 2.0,India,IND,2017,YR2017,0.979,2.521,0.737,1.897,0.274,0.704,2.824,3.58,2.125,0.789,0.892,2.19,0.504,1.24,0.292,0.72,0.142,0.35,0.407,0.588,1.44,0.316,0.178,0.103,0.05,0.208,0.144,3.2,64,78.8,43.4,866.2,1066.8,1354195680
Food Prices for Nutrition 2.0,FPN 2.0,India,IND,2018,YR2018,..,2.527,..,..,..,..,2.83,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.2,..,..,1001.9,1369003306
Food Prices for Nutrition 2.0,FPN 2.0,India,IND,2019,YR2019,..,2.569,..,..,..,..,2.877,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.4,..,..,986.9,1383112050
Food Prices for Nutrition 2.0,FPN 2.0,India,IND,2020,YR2020,..,2.652,..,..,..,..,2.97,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.2,..,..,1064,1396387127
Food Prices for Nutrition 2.0,FPN 2.0,India,IND,2021,YR2021,..,2.738,..,..,..,..,3.066,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.1,..,..,1043,1407563842
Food Prices for Nutrition 2.0,FPN 2.0,Indonesia,IDN,2017,YR2017,0.844,3.687,0.545,2.379,0.209,0.912,4.129,4.04,2.664,1.021,0.929,1.35,0.792,1.15,0.429,0.62,0.13,0.19,0.69,1.16,1.68,0.225,0.192,0.104,0.031,0.281,0.167,4.3,7,72.8,11.4,130.8,192.5,264498852
Food Prices for Nutrition 2.0,FPN 2.0,Indonesia,IDN,2018,YR2018,..,3.815,..,..,..,..,4.273,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71,..,..,189.6,267066843
Food Prices for Nutrition 2.0,FPN 2.0,Indonesia,IDN,2019,YR2019,..,3.811,..,..,..,..,4.268,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.5,..,..,187.4,269582878
Food Prices for Nutrition 2.0,FPN 2.0,Indonesia,IDN,2020,YR2020,..,3.988,..,..,..,..,4.466,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.2,..,..,190.8,271857970
Food Prices for Nutrition 2.0,FPN 2.0,Indonesia,IDN,2021,YR2021,..,4.222,..,..,..,..,4.729,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.8,..,..,193.8,273753191
Food Prices for Nutrition 2.0,FPN 2.0,"Iran, Islamic Rep.",IRN,2017,YR2017,0.753,2.683,0.503,1.794,0.218,0.778,3.005,3.45,2.009,0.871,0.704,1.59,0.627,1.41,0.575,1.3,0.165,0.37,0.444,0.49,1.1,0.234,0.209,0.191,0.055,0.163,0.148,0.2,5,14.4,0.1,4.3,12.2,84505076
Food Prices for Nutrition 2.0,FPN 2.0,"Iran, Islamic Rep.",IRN,2018,YR2018,..,2.868,..,..,..,..,3.212,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.6,..,..,14.3,85617562
Food Prices for Nutrition 2.0,FPN 2.0,"Iran, Islamic Rep.",IRN,2019,YR2019,..,3.252,..,..,..,..,3.642,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.7,..,..,22.2,86564202
Food Prices for Nutrition 2.0,FPN 2.0,"Iran, Islamic Rep.",IRN,2020,YR2020,..,3.219,..,..,..,..,3.605,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.5,..,..,22.3,87290193
Food Prices for Nutrition 2.0,FPN 2.0,"Iran, Islamic Rep.",IRN,2021,YR2021,..,3.721,..,..,..,..,4.167,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30,..,..,26.4,87923432
Food Prices for Nutrition 2.0,FPN 2.0,Iraq,IRQ,2017,YR2017,0.726,3.016,0.538,2.237,0.25,1.04,3.378,2.9,2.505,1.165,0.999,1.56,0.654,1.02,0.285,0.45,0.133,0.21,0.639,0.667,1.04,0.296,0.194,0.084,0.039,0.197,0.189,0.1,5.8,16.8,0,2.3,6.7,39621162
Food Prices for Nutrition 2.0,FPN 2.0,Iraq,IRQ,2018,YR2018,..,3.093,..,..,..,..,3.464,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.8,..,..,6.8,40590700
Food Prices for Nutrition 2.0,FPN 2.0,Iraq,IRQ,2019,YR2019,..,3.155,..,..,..,..,3.534,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.5,..,..,6.4,41563520
Food Prices for Nutrition 2.0,FPN 2.0,Iraq,IRQ,2020,YR2020,..,3.161,..,..,..,..,3.54,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.2,..,..,8.2,42556984
Food Prices for Nutrition 2.0,FPN 2.0,Iraq,IRQ,2021,YR2021,..,3.272,..,..,..,..,3.665,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.4,..,..,8,43533592
Food Prices for Nutrition 2.0,FPN 2.0,Ireland,IRL,2017,YR2017,0.491,2.14,0.415,1.809,0.116,0.507,2.397,4.22,2.026,0.568,0.523,1.6,0.621,1.9,0.285,0.87,0.06,0.18,0.326,0.582,1.79,0.218,0.259,0.119,0.025,0.243,0.136,0.2,0.3,0.4,0,0,0,4807388
Food Prices for Nutrition 2.0,FPN 2.0,Ireland,IRL,2018,YR2018,..,2.09,..,..,..,..,2.341,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,0,4867316
Food Prices for Nutrition 2.0,FPN 2.0,Ireland,IRL,2019,YR2019,..,2.089,..,..,..,..,2.34,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,0,4934340
Food Prices for Nutrition 2.0,FPN 2.0,Ireland,IRL,2020,YR2020,..,1.968,..,..,..,..,2.204,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0,4985382
Food Prices for Nutrition 2.0,FPN 2.0,Ireland,IRL,2021,YR2021,..,1.92,..,..,..,..,2.15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,0,5033165
Food Prices for Nutrition 2.0,FPN 2.0,Israel,ISR,2017,YR2017,0.299,2.175,0.233,1.695,0.062,0.449,2.436,4.84,1.898,0.503,0.842,2.44,0.562,1.63,0.216,0.63,0.074,0.21,0.345,0.397,1.15,0.346,0.231,0.089,0.03,0.163,0.142,0.2,1.2,1.9,0,0.1,0.2,8713300
Food Prices for Nutrition 2.0,FPN 2.0,Israel,ISR,2018,YR2018,..,2.232,..,..,..,..,2.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,0.1,8882800
Food Prices for Nutrition 2.0,FPN 2.0,Israel,ISR,2019,YR2019,..,2.216,..,..,..,..,2.482,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,0.1,9054000
Food Prices for Nutrition 2.0,FPN 2.0,Israel,ISR,2020,YR2020,..,2.208,..,..,..,..,2.473,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,0.1,9215100
Food Prices for Nutrition 2.0,FPN 2.0,Israel,ISR,2021,YR2021,..,2.254,..,..,..,..,2.524,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,0.1,9364000
Food Prices for Nutrition 2.0,FPN 2.0,Italy,ITA,2017,YR2017,0.325,2.576,0.251,1.988,0.035,0.279,2.885,9.25,2.226,0.312,0.778,3.52,0.812,3.67,0.266,1.2,0.057,0.26,0.221,0.751,3.4,0.27,0.281,0.092,0.02,0.26,0.077,1,2.1,2.8,0.6,1.3,1.7,60536709
Food Prices for Nutrition 2.0,FPN 2.0,Italy,ITA,2018,YR2018,..,2.66,..,..,..,..,2.979,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.8,..,..,1.7,60421760
Food Prices for Nutrition 2.0,FPN 2.0,Italy,ITA,2019,YR2019,..,2.787,..,..,..,..,3.121,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.1,..,..,1.2,59729081
Food Prices for Nutrition 2.0,FPN 2.0,Italy,ITA,2020,YR2020,..,2.816,..,..,..,..,3.154,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.8,..,..,1.1,59438851
Food Prices for Nutrition 2.0,FPN 2.0,Italy,ITA,2021,YR2021,..,2.829,..,..,..,..,3.168,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.5,..,..,0.9,59109668
Food Prices for Nutrition 2.0,FPN 2.0,Jamaica,JAM,2017,YR2017,0.917,5.335,0.623,3.622,0.156,0.906,5.975,5.89,4.057,1.015,1.144,1.67,1.997,2.92,0.454,0.66,0.242,0.35,0.684,1.454,2.13,0.191,0.334,0.076,0.041,0.243,0.114,0.9,36.6,57.9,0,1,1.6,2808376
Food Prices for Nutrition 2.0,FPN 2.0,Jamaica,JAM,2018,YR2018,..,5.483,..,..,..,..,6.141,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.1,..,..,1.6,2811835
Food Prices for Nutrition 2.0,FPN 2.0,Jamaica,JAM,2019,YR2019,..,5.713,..,..,..,..,6.398,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.9,..,..,1.6,2813773
Food Prices for Nutrition 2.0,FPN 2.0,Jamaica,JAM,2020,YR2020,..,5.965,..,..,..,..,6.681,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64,..,..,1.8,2820436
Food Prices for Nutrition 2.0,FPN 2.0,Jamaica,JAM,2021,YR2021,..,6.279,..,..,..,..,7.033,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.6,..,..,1.8,2827695
Food Prices for Nutrition 2.0,FPN 2.0,Japan,JPN,2017,YR2017,0.64,4.937,0.412,3.176,0.343,2.641,5.529,1.87,3.557,2.958,0.887,0.6,1.003,0.68,0.51,0.35,0.085,0.06,1.477,1.567,1.06,0.16,0.181,0.092,0.015,0.283,0.267,1.2,1.4,2.7,1.5,1.8,3.4,126972000
Food Prices for Nutrition 2.0,FPN 2.0,Japan,JPN,2018,YR2018,..,5.09,..,..,..,..,5.701,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7,..,..,3.4,126811000
Food Prices for Nutrition 2.0,FPN 2.0,Japan,JPN,2019,YR2019,..,4.969,..,..,..,..,5.565,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,3.1,126633000
Food Prices for Nutrition 2.0,FPN 2.0,Japan,JPN,2020,YR2020,..,5.042,..,..,..,..,5.647,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7,..,..,3.4,126261000
Food Prices for Nutrition 2.0,FPN 2.0,Japan,JPN,2021,YR2021,..,5.034,..,..,..,..,5.638,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,..,..,2.5,125681593
Food Prices for Nutrition 2.0,FPN 2.0,Jordan,JOR,2017,YR2017,0.732,3.046,0.345,1.438,0.138,0.574,3.412,5.31,1.61,0.643,1.288,3.2,0.604,1.5,0.324,0.81,0.127,0.32,0.402,0.667,1.66,0.377,0.177,0.095,0.037,0.195,0.118,0,0.1,6.1,0,0,0.6,10215381
Food Prices for Nutrition 2.0,FPN 2.0,Jordan,JOR,2018,YR2018,..,3.084,..,..,..,..,3.454,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.7,..,..,0.6,10459865
Food Prices for Nutrition 2.0,FPN 2.0,Jordan,JOR,2019,YR2019,..,3.125,..,..,..,..,3.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.5,..,..,0.7,10698683
Food Prices for Nutrition 2.0,FPN 2.0,Jordan,JOR,2020,YR2020,..,3.227,..,..,..,..,3.614,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.4,..,..,0.8,10928721
Food Prices for Nutrition 2.0,FPN 2.0,Jordan,JOR,2021,YR2021,..,3.337,..,..,..,..,3.737,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.1,..,..,0.8,11148278
Food Prices for Nutrition 2.0,FPN 2.0,Kazakhstan,KAZ,2017,YR2017,0.283,2.135,0.207,1.565,0.077,0.583,2.391,3.66,1.753,0.653,0.672,1.56,0.356,0.83,0.466,1.08,0.124,0.29,0.43,0.344,0.8,0.281,0.149,0.195,0.052,0.144,0.18,0,0.5,2.5,0,0.1,0.5,18037776
Food Prices for Nutrition 2.0,FPN 2.0,Kazakhstan,KAZ,2018,YR2018,..,2.166,..,..,..,..,2.426,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.7,..,..,0.3,18276452
Food Prices for Nutrition 2.0,FPN 2.0,Kazakhstan,KAZ,2019,YR2019,..,2.265,..,..,..,..,2.537,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.6,..,..,0.3,18513673
Food Prices for Nutrition 2.0,FPN 2.0,Kazakhstan,KAZ,2020,YR2020,..,2.372,..,..,..,..,2.657,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6,..,..,0.5,18755666
Food Prices for Nutrition 2.0,FPN 2.0,Kazakhstan,KAZ,2021,YR2021,..,2.546,..,..,..,..,2.852,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.3,..,..,0.4,19000988
Food Prices for Nutrition 2.0,FPN 2.0,Kenya,KEN,2017,YR2017,0.79,2.541,0.514,1.653,0.213,0.685,2.846,3.71,1.851,0.767,0.935,2.16,0.569,1.32,0.216,0.5,0.179,0.41,0.432,0.515,1.19,0.329,0.2,0.076,0.063,0.181,0.152,11.6,57,77.4,5.7,27.9,37.9,48948137
Food Prices for Nutrition 2.0,FPN 2.0,Kenya,KEN,2018,YR2018,..,2.521,..,..,..,..,2.823,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.5,..,..,37.2,49953304
Food Prices for Nutrition 2.0,FPN 2.0,Kenya,KEN,2019,YR2019,..,2.596,..,..,..,..,2.907,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.7,..,..,37.6,50951450
Food Prices for Nutrition 2.0,FPN 2.0,Kenya,KEN,2020,YR2020,..,2.65,..,..,..,..,2.968,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.5,..,..,38.7,51985780
Food Prices for Nutrition 2.0,FPN 2.0,Kenya,KEN,2021,YR2021,..,2.847,..,..,..,..,3.189,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74,..,..,39.2,53005614
Food Prices for Nutrition 2.0,FPN 2.0,"Korea, Rep.",KOR,2017,YR2017,0.908,4.207,0.817,3.788,0.129,0.597,4.712,7.04,4.242,0.669,1.188,2.45,1.331,2.74,0.365,0.75,0.078,0.16,0.485,1.265,2.61,0.252,0.282,0.077,0.017,0.268,0.103,0,1.5,2.2,0,0.8,1.2,51361911
Food Prices for Nutrition 2.0,FPN 2.0,"Korea, Rep.",KOR,2018,YR2018,..,4.375,..,..,..,..,4.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,..,..,1,51585058
Food Prices for Nutrition 2.0,FPN 2.0,"Korea, Rep.",KOR,2019,YR2019,..,4.313,..,..,..,..,4.831,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.7,..,..,0.9,51764822
Food Prices for Nutrition 2.0,FPN 2.0,"Korea, Rep.",KOR,2020,YR2020,..,4.563,..,..,..,..,5.111,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.2,..,..,1.2,51836239
Food Prices for Nutrition 2.0,FPN 2.0,"Korea, Rep.",KOR,2021,YR2021,..,4.768,..,..,..,..,5.34,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.5,..,..,0.8,51744876
Food Prices for Nutrition 2.0,FPN 2.0,Kuwait,KWT,2017,YR2017,0.526,2.986,0.282,1.599,0.054,0.304,3.344,9.81,1.791,0.341,1.024,4.05,0.64,2.53,0.333,1.32,0.169,0.67,0.253,0.924,3.65,0.306,0.191,0.1,0.051,0.276,0.076,..,..,..,..,..,..,4124904
Food Prices for Nutrition 2.0,FPN 2.0,Kuwait,KWT,2018,YR2018,..,3.042,..,..,..,..,3.407,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4317185
